THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
smalltown,Hotel de pueblo,Hoteles de pueblos,Hotel,Hoteles,property_type,HotelesPueblo
spa,Hotel con spa,Hoteles con spa,Hotel,Hoteles,property_type,Hotel_Spa
staycation,Hotel para vacaciones en casa,Hoteles para vacaciones en casa,Hotel,Hoteles,property_type,HotelVacacCasa
studio,Estudio,Estudios,Estudio,Estudios,property_type,Estudios
suite,Suite,Suites,Suite,Suites,property_type,Suites
suites,Suite,Suites,Suite,Suites,property_type,Suites
sustainable,Hotel sostenible,Hoteles sostenibles,Hotel,Hoteles,property_type,Hoteles_Sosten
tentalow,Tienda bungaló,Tiendas bungaló,Tienda bungaló,Tiendas bungaló,property_type,Tiendas_Bungaló
tent,Tienda,Tienda,Tienda,Tienda,property_type,Tienda
best,El mejor hotel,Los mejores hoteles,Hotel,Hoteles,property_type,Mejores_Hoteles
hotel_best,El mejor hotel,Los mejores hoteles,Hotel,Hoteles,property_type,Mejores_Hoteles
top,Hotel destacado,Hoteles destacados,Hotel,Hoteles,property_type,Hoteles_Destac
allinclusive|resort|top,Complejo turístico todo incluido destacado,Complejos turísticos todo incluido destacados,Complejo turístico,Complejos turísticos,property_type,CompTurTodoIncl
traditional,Hotel tradicional,Hoteles tradicionales,Hotel tradicional,Hoteles tradicionales,property_type,Tradicional
treehouse,Casa en los árboles,Casas en los árboles,Casa en los árboles,Casas en los árboles,property_type,Casas_Árboles
trendy,Hotel de moda,Hoteles de moda,Hotel,Hoteles,property_type,Hoteles_Moda
tropical,Hotel tropical,Hoteles tropicales,Hotel,Hoteles,property_type,Hoteles_Tropic
urban,Hotel urbano,Hoteles urbanos,Hotel,Hoteles,property_type,Hoteles_Urbanos
vacationrental,Alquiler de vacaciones,Alquileres de vacaciones,Alquiler de vacaciones,Alquileres de vacaciones,property_type,Alquiler_Vacaci
villa,Villa,Villas,Villa,Villas,property_type,Villas
whalewatching,Hotel cerca de avistamiento de ballenas,Hoteles cerca de avistamiento de ballenas,Hotel,Hoteles,property_type,Avist_Ballenas
whitesandbeach,Hotel cerca de playas de arena blanca,Hoteles cerca de playas de arena blanca,Hotel,Hoteles,property_type,PlayaArenaBlanc
deal|hotel|offer,Oferta de hotel,Ofertas de hoteles,Hotel,Hoteles,property_type,OfertasHoteles
sameday,Hotel para esta noche,Hoteles para esta noche,Hotel,Hoteles,property_type,Hotel_Esta_Noch
same_day,Hotel para esta noche,Hoteles para esta noche,Hotel,Hoteles,property_type,Hotel_Esta_Noch
adult_only|all_inclusive|resort,Complejo turístico todo incluido solo para adultos,Complejos turísticos todo incluido solo para adultos,Complejo turístico,Complejos turísticos,property_type,ComplIncAdultos
riverview,Hotel con vistas al río,Hoteles con vistas al río,Hotel,Hoteles,property_type,Hotel_Vista_Río
safari,Hotel con safaris,Hoteles con safaris,Hotel,Hoteles,property_type,Hoteles_Safaris
sailing,Hotel cerca de navegación a vela,Hoteles cerca de navegación a vela,Hotel,Hoteles,property_type,Hotel_Nav_Vela
sharks,Hotel con avistamiento de tiburones,Hoteles con avistamiento de tiburones,Hotel,Hoteles,property_type,Hotel_Tiburones
sofabed,Hotel con sofá cama,Hoteles con sofás cama,Hotel,Hoteles,property_type,Hotel_Sofá_Cama
theatre,Hotel cerca de teatros,Hoteles cerca de teatros,Hotel,Hoteles,property_type,Hoteles_Teatro
tours,Hotel con tours,Hoteles con tours,Hotel,Hoteles,property_type,Hoteles_Tours
travel,Hotel de viaje,Hoteles de viajes,Hotel,Hoteles,property_type,Hoteles_Viajes
accommodation|deal|offer,Oferta de alojamiento,Ofertas de alojamiento,Alojamiento,Alojamiento,property_type,OfertasAlojam
beach|resort,Complejo turístico cerca de playas,Complejos turísticos cerca de playas,Complejo turístico,Complejos turísticos,property_type,Complejos_Playa
cheap|motel,Motel barato,Moteles baratos,Motel,Moteles,property_type,Moteles_Baratos
best|stay,La mejor estancia en hotel,Las mejores estancias en hotel,Hotel,Hoteles,property_type,Mejor_Est_Hotel
best|resort,El mejor complejo turístico,Los mejores complejos turísticos,Complejo turístico,Complejos turísticos,property_type,Mejores_Complej
resort|spa,Complejo turístico con spa,Complejos turísticos con spa,Complejo turístico,Complejos turísticos,property_type,Complejos_Spa
airport|parking,Hotel con aparcamiento,Hoteles con aparcamiento,Hotel,Hoteles,property_type,Aparc_Aeropuert
accommodation|petfriendly,Alojamientos que aceptan mascotas,Alojamientos que aceptan mascotas,Alojamiento,Alojamiento,property_type,Alojam_Mascotas
bedbreakfast|cheap,Bed and breakfast barato,Bed and breakfasts baratos,Bed and breakfast,Bed and breakfasts,property_type,BedandBreakfast
familyfriendly|resort,Complejo turístico para familias,Complejos turísticos para familias,Complejo turístico,Complejos turísticos,property_type,Complejos_famil
cheap|hostel,Albergue juvenil barato,Albergues juveniles baratos,Albergue juvenil,Albergues juveniles,property_type,Alberg_Baratos
resort|ski,Complejo turístico de esquí,Complejos turísticos de esquí,Complejo turístico,Complejos turísticos,property_type,Complejos_esquí
airport|cheap,Hotel barato,Hoteles baratos,Hotel,Hoteles,property_type,Hotel_Aeropuert
cheap|stay,Estancia en hoteles baratos,Estancias en hoteles baratos,Hotel,Hoteles,property_type,EstHotelBarato
golf|resort,Complejo turístico con golf,Complejos turísticos con golf,Complejo turístico,Complejos turísticos,property_type,Complejos_Golf
luxury|resort,Complejo turístico de lujo,Complejos turísticos de lujo,Complejo turístico,Complejos turísticos,property_type,Complejos_Lujo
accommodation|luxury,Alojamiento de lujo,Alojamiento de lujo,Alojamiento,Alojamiento,property_type,Alojamient_Lujo
best|familyfriendly,El mejor hotel para familias,Los mejores hoteles para familias,Hotel,Hoteles,property_type,Mejor_Hotel_Fam
5star|resort,Complejo turístico de 5 estrellas,Complejos turísticos de 5 estrellas,Complejo turístico,Complejos turísticos,property_type,Complejos_5_est
pool|resort,Complejo turístico con piscina,Complejos turísticos con piscina,Complejo turístico,Complejos turísticos,property_type,Complejos_Pisci
economy,Hotel económico,Hoteles económicos,Hotel,Hoteles,property_type,Hoteles_Económ
expensive,Hotel caro,Hoteles caros,Hotel,Hoteles,property_type,HotelesCaros
luxurious,Hoteles lujosos,Hoteles lujosos,Hotel,Hoteles,property_type,HotelesLujosos
mostexpensive,El hotel más caro,Los hoteles más caros,Hotel,Hoteles,property_type,HotelesCaros
